The model-log recall is: 0.6631953669553463
The model-log precession is: 0.9798197216093993






2022-09-30 00:09:54 Generation 35: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:55 Generation 36: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:55 Generation 37: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:55 Generation 38: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:56 Generation 39: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:56 Generation 40: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:56 Generation 41: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:56 Generation 42: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:57 Generation 43: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:57 Generation 44: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:57 Generation 45: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:57 Generation 46: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:58 Generation 47: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:58 Generation 48: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
2022-09-30 00:09:58 Generation 49: 0.9613414740409577 ( {Fr=0.9883560945780677,Su=1.0,Pe=0.896535233495134,Of=0.9613414740409577,Gv=0.9765679454399332})
