The model-log recall is: 0.479010328273637
The model-log precession is: 0.6629388703886467



2022-10-05 00:31:21 Generation 34: 0.9586779749496523 ( {Fr=0.9883560945780677,Gv=0.9184959259303256,Pe=0.8990937404866168,Su=1.0,Of=0.9586779749496523})
2022-10-05 00:31:22 Generation 35: 0.9586779749496523 ( {Fr=0.9883560945780677,Gv=0.9184959259303256,Pe=0.8990937404866168,Su=1.0,Of=0.9586779749496523})
2022-10-05 00:31:23 Generation 36: 0.9586779749496523 ( {Fr=0.9883560945780677,Gv=0.9184959259303256,Pe=0.8990937404866168,Su=1.0,Of=0.9586779749496523})
2022-10-05 00:31:23 Generation 37: 0.9590593544428622 ( {Fr=0.998675091724419,Gv=0.9122788685797977,Pe=0.8809958479409341,Su=1.0,Of=0.9590593544428622})
2022-10-05 00:31:23 Generation 38: 0.9590593544428622 ( {Fr=0.998675091724419,Gv=0.9122788685797977,Pe=0.8809958479409341,Su=1.0,Of=0.9590593544428622})
2022-10-05 00:31:24 Generation 39: 0.9590593544428622 ( {Fr=0.998675091724419,Gv=0.9122788685797977,Pe=0.8809958479409341,Su=1.0,Of=0.9590593544428622})
2022-10-05 00:31:24 Generation 40: 0.9590593544428622 ( {Fr=0.998675091724419,Gv=0.9122788685797977,Pe=0.8809958479409341,Su=1.0,Of=0.9590593544428622})
2022-10-05 00:31:24 Generation 41: 0.9609007031616007 ( {Fr=0.9999490419894007,Gv=0.9018672878017848,Pe=0.8867908492102841,Su=1.0,Of=0.9609007031616007})
2022-10-05 00:31:25 Generation 42: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:25 Generation 43: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:25 Generation 44: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:26 Generation 45: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:26 Generation 46: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:26 Generation 47: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:27 Generation 48: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
2022-10-05 00:31:27 Generation 49: 0.9611124498396648 ( {Fr=0.9454494496534855,Gv=0.955636254216616,Pe=0.9857561793045664,Su=1.0,Of=0.9611124498396648})
